,Unnamed: 0,Unnamed: 0.1,Auswärtsteam,Datum,Heimteam,Rang Auswärtsteam,Rang Heimteam,Runde,Saison,Spielzeit,Tag,Zeit,tore_aus,tore_heim,zuschauer,punkteaus,punkteheim,Grasshoppers,Wil,Thun,Aarau,Servette,Lausanne,Basel,Sion,Luzern,Zürich,Bellinzona,YB,Vaduz,Xamax,Lugano,St.Gallen,Schaffhausen,Yverdon
0,0,0,Xamax,16.07.2003,Grasshoppers,9,7,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,0,7600,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1082,1164,1164,Aarau,16.07.2003,Thun,8,6,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,1,3450,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,2308,2308,Zürich,16.07.2003,Basel,4,1,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,2,30561,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2560,4058,4058,Wil,16.07.2003,Servette,0,3,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,1,3,4916,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
680,698,698,YB,16.07.2003,St.Gallen,2,5,1,2003/2004,2003-07-16 19:30:00,Wed,19:30,4,1,10300,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,1,1,St.Gallen,19.07.2003,Xamax,0,4,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,0,2,5600,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1436,1629,1629,Grasshoppers,19.07.2003,Aarau,8,5,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,1,2,7100,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152,2845,2845,Servette,19.07.2003,Zürich,2,7,2,2003/2004,2003-07-19 19:30:00,Sat,19:30,1,0,6800,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,2309,2309,Basel,22.07.2003,YB,3,1,2,2003/2004,2003-07-22 19:30:00,Tue,19:30,3,2,11850,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1083,1165,1165,Thun,22.07.2003,Wil,6,9,2,2003/2004,2003-07-22 19:30:00,Tue,19:30,1,1,2000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,1166,1166,Thun,26.07.2003,Servette,6,1,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,1,5,5072,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,Xamax,26.07.2003,Basel,2,3,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,2,4,29055,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2153,2846,2846,Zürich,26.07.2003,YB,8,5,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,1,2,8000,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
681,700,700,Aarau,26.07.2003,St.Gallen,4,1,3,2003/2004,2003-07-26 19:30:00,Sat,19:30,0,0,8500,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1437,1630,1630,Wil,29.07.2003,Grasshoppers,7,9,3,2003/2004,2003-07-29 19:30:00,Tue,19:30,3,5,7300,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,YB,02.08.2003,Xamax,3,4,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,1,10600,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1085,1167,1167,Grasshoppers,02.08.2003,Thun,6,7,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,3,4871,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2561,4061,4061,Servette,02.08.2003,Aarau,1,5,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,1,1,6500,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1876,2311,2311,Basel,02.08.2003,Wil,2,8,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,3,2,5600,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
682,701,701,St.Gallen,02.08.2003,Zürich,9,0,4,2003/2004,2003-08-02 19:30:00,Sat,19:30,2,2,7400,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,4,4,Zürich,08.08.2003,Xamax,9,5,5,2003/2004,2003-08-08 19:30:00,Fri,19:30,1,2,8200,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1438,1632,1632,Servette,08.08.2003,Grasshoppers,2,7,5,2003/2004,2003-08-08 19:30:00,Fri,19:30,1,1,8000,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
