,Anzahlsommertransfers,Anzahlwintertransfers,Saison,Sommeraus,Sommerein,Team,Winteraus,Winterein
0,30.0,6.0,2005,3580,450,Luzern,250,225
1,22.0,10.0,2006,1300,4780,Luzern,1130,3100
2,24.0,20.0,2007,3180,2850,Luzern,2830,2550
3,23.0,10.0,2008,5050,5280,Luzern,1280,1000
4,18.0,5.0,2009,3150,4950,Luzern,1850,300
5,16.0,3.0,2010,2300,3300,Luzern,50,150
6,19.0,11.0,2011,3750,3200,Luzern,2050,1380
7,19.0,7.0,2012,3300,4600,Luzern,550,2800
8,18.0,8.0,2013,4700,1900,Luzern,1800,2100
9,24.0,9.0,2014,4600,9650,Luzern,2600,1000
10,28.0,13.0,2015,4750,4700,Luzern,6250,4100
11,28.0,4.0,2016,8650,4350,Luzern,2150,1000
12,33.0,5.0,2017,7850,7050,Luzern,1550,800
13,7.0,9.0,2011,50,950,Xamax,850,800
14,13.0,3.0,2012,0,600,Xamax,0,0
15,19.0,4.0,2013,250,1200,Xamax,0,0
16,17.0,5.0,2014,125,1030,Xamax,50,325
17,17.0,11.0,2015,200,1180,Xamax,500,1750
18,38.0,8.0,2016,3850,2200,Xamax,150,100
19,20.0,7.0,2017,1350,1250,Xamax,475,950
20,28.0,8.0,2005,5980,2950,Xamax,1000,1200
21,28.0,5.0,2006,4850,3800,Xamax,400,1930
22,23.0,4.0,2007,3600,3950,Xamax,300,1000
23,24.0,6.0,2008,4650,1900,Xamax,950,1450
24,25.0,12.0,2009,4700,5630,Xamax,6050,1200
25,25.0,6.0,2010,4330,5050,Xamax,1100,1700
26,39.0,23.0,2011,8800,17480,Xamax,14980,300
27,20.0,5.0,2005,2380,1200,St.Gallen,600,700
28,28.0,7.0,2006,5530,6160,St.Gallen,1050,650
29,17.0,10.0,2007,2150,2230,St.Gallen,1200,2230
30,30.0,6.0,2008,8680,3330,St.Gallen,350,700
31,15.0,7.0,2009,1730,2680,St.Gallen,650,2050
32,20.0,11.0,2010,3750,2350,St.Gallen,800,6100
33,22.0,3.0,2011,5000,2200,St.Gallen,350,250
34,19.0,7.0,2012,1980,2300,St.Gallen,950,2000
35,19.0,2.0,2013,5580,4330,St.Gallen,250,400
36,19.0,8.0,2014,3450,3750,St.Gallen,2500,925
37,20.0,15.0,2015,3750,4450,St.Gallen,3550,5400
38,24.0,8.0,2016,5300,5550,St.Gallen,1450,2450
39,29.0,11.0,2017,8650,6550,St.Gallen,2950,2230
40,28.0,14.0,2005,5030,3550,Thun,3630,975
41,31.0,8.0,2006,6130,4980,Thun,3100,450
42,20.0,8.0,2007,2730,1800,Thun,1350,1400
43,28.0,5.0,2008,5450,700,Thun,650,150
44,21.0,15.0,2009,1500,1550,Thun,1350,975
45,22.0,15.0,2010,2400,2250,Thun,2350,1550
46,13.0,10.0,2011,2850,2050,Thun,1350,900
47,20.0,8.0,2012,2600,2730,Thun,950,800
48,18.0,4.0,2013,2980,3550,Thun,1700,700
49,20.0,6.0,2014,4050,3550,Thun,1800,1550
50,20.0,4.0,2015,3950,3050,Thun,850,200
51,19.0,6.0,2016,7050,2750,Thun,1150,1600
52,21.0,8.0,2017,4750,3730,Thun,1200,2930
53,19.0,7.0,2005,8140,6450,GC,4650,1800
54,20.0,7.0,2006,5250,2300,GC,2930,4380
55,29.0,8.0,2007,8750,4230,GC,1470,550
56,20.0,12.0,2008,4680,4050,GC,1800,6450
57,31.0,6.0,2009,12530,6000,GC,450,650
58,27.0,10.0,2010,10050,3050,GC,800,1500
59,39.0,7.0,2011,7800,5950,GC,900,400
60,30.0,7.0,2012,4950,5850,GC,1000,1100
61,23.0,11.0,2013,5600,3250,GC,7550,2150
62,28.0,13.0,2014,8750,7750,GC,2830,2530
63,30.0,10.0,2015,11080,6930,GC,5600,10000
64,22.0,15.0,2016,22100,7000,GC,2850,8800
65,26.0,22.0,2017,12200,5280,GC,6030,6200
66,30.0,9.0,2005,3200,1630,Vaduz,600,800
67,32.0,8.0,2006,2380,2550,Vaduz,500,1050
68,19.0,4.0,2007,2850,1050,Vaduz,200,400
69,22.0,13.0,2008,1430,1550,Vaduz,1650,1300
70,45.0,7.0,2009,6200,4100,Vaduz,950,650
71,28.0,6.0,2010,2600,2430,Vaduz,275,350
72,23.0,5.0,2012,2100,1480,Vaduz,300,1150
73,21.0,9.0,2013,3380,2780,Vaduz,1450,1480
74,16.0,4.0,2014,975,3030,Vaduz,700,1050
75,20.0,9.0,2015,3350,3000,Vaduz,1250,2800
76,25.0,4.0,2016,5600,2980,Vaduz,1000,300
77,25.0,5.0,2017,5200,3780,Vaduz,1000,650
78,22.0,5.0,2005,12250,4250,Basel,4700,5700
79,21.0,7.0,2006,14880,8780,Basel,3300,80
80,22.0,8.0,2007,11930,8650,Basel,3830,1850
81,25.0,6.0,2008,7400,6400,Basel,450,600
82,25.0,9.0,2009,10330,14080,Basel,1800,900
83,20.0,7.0,2010,3900,6050,Basel,5650,3900
84,20.0,6.0,2011,6600,7200,Basel,1200,750
85,22.0,10.0,2012,27700,5750,Basel,1200,5750
86,33.0,6.0,2013,19880,14530,Basel,9550,5300
87,30.0,9.0,2014,21730,14180,Basel,7900,1600
88,27.0,13.0,2015,22000,18100,Basel,13530,5080
89,27.0,4.0,2016,25800,27080,Basel,4600,100
90,25.0,19.0,2017,16350,11800,Basel,14280,12750
91,13.0,6.0,2005,5850,950,Zürich,1550,700
92,21.0,7.0,2006,5580,7250,Zürich,225,3230
93,18.0,9.0,2007,10500,3780,Zürich,4750,3880
94,14.0,10.0,2008,1950,1350,Zürich,1800,2850
95,15.0,17.0,2009,3450,5500,Zürich,4250,3250
96,25.0,5.0,2010,5050,6100,Zürich,2200,900
97,17.0,13.0,2011,1930,1830,Zürich,14600,3400
98,25.0,7.0,2012,5600,5550,Zürich,1050,350
99,9.0,4.0,2013,4200,2150,Zürich,50,2180
100,17.0,5.0,2014,5700,2450,Zürich,500,1100
101,24.0,11.0,2015,9600,3900,Zürich,3900,3850
